,X,DATE,CRASH_TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,VEHICLE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2
430,12754,1/8/15,450,QUEENS,11429,40.7088643,-73.7326394,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
362,12686,1/8/15,453,MANHATTAN,10022,40.7589756,-73.9645027,0,0,0,0,0,0,0,0,Lost Consciousness,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
361,12685,1/8/15,460,NA,NA,40.6198806,-74.0230108,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
359,12683,1/8/15,465,QUEENS,11385,40.705766,-73.8965724,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
360,12684,1/8/15,465,BROOKLYN,11221,40.6930216,-73.9162561,0,0,0,0,0,0,0,0,Unspecified,OTHER,0,0,0,-60,-132,64,310
348,12672,1/8/15,470,QUEENS,11102,40.7682283,-73.9291364,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
428,12752,1/8/15,470,BRONX,10473,40.8150304,-73.8614824,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
347,12671,1/8/15,473,BRONX,10455,40.8159768,-73.9110147,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,UNKNOWN,0,0,0,-60,-132,64,310
345,12669,1/8/15,475,MANHATTAN,10023,40.7768989,-73.9754586,0,0,0,0,0,0,0,0,Unspecified,PICK-UP TRUCK,0,0,0,-60,-132,64,310
346,12670,1/8/15,475,BROOKLYN,11221,40.6882902,-73.9390977,0,0,0,0,0,0,0,0,Lost Consciousness,VAN,0,0,0,-60,-132,64,310
344,12668,1/8/15,479,QUEENS,11419,40.68343,-73.8266015,0,0,0,0,0,0,0,0,Traffic Control Disregarded,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
338,12662,1/8/15,480,STATEN ISLAND,10306,40.5705732,-74.0951411,1,0,1,0,0,0,0,0,Glare,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
339,12663,1/8/15,480,STATEN ISLAND,10306,40.577577,-74.1056014,1,0,1,0,0,0,0,0,Backing Unsafely,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
340,12664,1/8/15,480,QUEENS,11423,40.7156845,-73.7719209,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
341,12665,1/8/15,480,BROOKLYN,11236,40.6556846,-73.8994072,0,0,0,0,0,0,0,0,View Obstructed/Limited,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
342,12666,1/8/15,480,BROOKLYN,11205,40.6946875,-73.955197,0,0,0,0,0,0,0,0,Unspecified,LARGE COM VEH(6 OR MORE TIRES),0,0,0,-60,-132,64,310
343,12667,1/8/15,480,BRONX,10458,40.8593524,-73.8897794,0,0,0,0,0,0,0,0,Other Vehicular,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
334,12658,1/8/15,483,STATEN ISLAND,10306,40.5621362,-74.1181771,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
335,12659,1/8/15,483,MANHATTAN,10128,40.7826332,-73.9511983,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
336,12660,1/8/15,483,MANHATTAN,10027,40.8120522,-73.9535429,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
337,12661,1/8/15,483,MANHATTAN,10025,40.7902945,-73.9693903,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
333,12657,1/8/15,484,MANHATTAN,10029,40.7960734,-73.9434848,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
332,12656,1/8/15,485,MANHATTAN,10013,40.7193963,-74.0018831,0,0,0,0,0,0,0,0,Turning Improperly,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
328,12652,1/8/15,490,QUEENS,11378,40.7230827,-73.9131698,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
329,12653,1/8/15,490,QUEENS,11105,40.7715984,-73.9089475,0,0,0,0,0,0,0,0,Glare,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
330,12654,1/8/15,490,BROOKLYN,11232,40.6689255,-73.9964817,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
331,12655,1/8/15,490,BRONX,10455,40.8178659,-73.9050076,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
327,12651,1/8/15,497,MANHATTAN,10002,40.7136898,-73.9945856,0,0,0,0,0,0,0,0,Lost Consciousness,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
326,12650,1/8/15,500,BROOKLYN,11213,40.6662772,-73.9341398,0,0,0,0,0,0,0,0,Fatigued/Drowsy,LARGE COM VEH(6 OR MORE TIRES),0,0,0,-60,-132,64,310
325,12649,1/8/15,502,MANHATTAN,10033,40.8467257,-73.9356202,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
323,12647,1/8/15,505,QUEENS,11692,40.5925792,-73.800657,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
324,12648,1/8/15,505,BROOKLYN,11224,40.5806604,-73.985654,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
322,12646,1/8/15,509,BROOKLYN,11233,40.6804767,-73.9222785,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
312,12636,1/8/15,510,MANHATTAN,10019,40.7654191,-73.9838236,1,0,1,0,0,0,0,0,Other Vehicular,TAXI,0,0,0,-60,-132,64,310
313,12637,1/8/15,510,STATEN ISLAND,10301,40.6083331,-74.101854,0,0,0,0,0,0,0,0,Backing Unsafely,VAN,0,0,0,-60,-132,64,310
314,12638,1/8/15,510,STATEN ISLAND,10301,40.6150504,-74.1070654,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
315,12639,1/8/15,510,QUEENS,11358,40.7597028,-73.8003012,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
316,12640,1/8/15,510,BROOKLYN,11217,40.679313,-73.9817534,0,0,0,0,0,0,0,0,Unspecified,TAXI,0,0,0,-60,-132,64,310
317,12641,1/8/15,510,BROOKLYN,11215,40.6661587,-73.9953068,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
318,12642,1/8/15,510,BROOKLYN,11212,40.6629667,-73.9061365,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
319,12643,1/8/15,510,BROOKLYN,11207,40.6773595,-73.8868607,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
320,12644,1/8/15,510,BRONX,10472,40.8316416,-73.8760684,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
321,12645,1/8/15,510,BRONX,10461,40.8387825,-73.8358062,0,0,0,0,0,0,0,0,Unspecified,UNKNOWN,0,0,0,-60,-132,64,310
311,12635,1/8/15,514,BROOKLYN,11217,40.6835142,-73.9759509,0,0,0,0,0,0,0,0,Unspecified,SMALL COM VEH(4 TIRES),0,0,0,-60,-132,64,310
307,12631,1/8/15,515,BROOKLYN,11238,40.6785156,-73.9639002,1,0,0,0,0,0,1,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
308,12632,1/8/15,515,NA,NA,40.7263443,-73.7650719,0,0,0,0,0,0,0,0,Traffic Control Disregarded,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
309,12633,1/8/15,515,BROOKLYN,11217,40.6853239,-73.9807025,0,0,0,0,0,0,0,0,Lost Consciousness,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
310,12634,1/8/15,515,BRONX,10457,40.8466586,-73.8961762,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
306,12630,1/8/15,517,BRONX,10460,40.839799,-73.8735956,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
305,12629,1/8/15,518,MANHATTAN,10021,40.7655459,-73.9547017,0,0,0,0,0,0,0,0,Lost Consciousness,OTHER,0,0,0,-60,-132,64,310
296,12620,1/8/15,520,BROOKLYN,11226,40.6466293,-73.9556509,1,0,1,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
297,12621,1/8/15,520,QUEENS,11421,40.6999089,-73.8537765,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
298,12622,1/8/15,520,QUEENS,11373,40.731381,-73.8778136,0,0,0,0,0,0,0,0,Brakes Defective,BUS,0,0,0,-60,-132,64,310
299,12623,1/8/15,520,QUEENS,11366,40.7214619,-73.8045285,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,BUS,0,0,0,-60,-132,64,310
300,12624,1/8/15,520,BROOKLYN,11249,40.7203204,-73.9617203,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
301,12625,1/8/15,520,BROOKLYN,11224,40.577244,-74.0000324,0,0,0,0,0,0,0,0,Other Vehicular,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
302,12626,1/8/15,520,BROOKLYN,11204,40.6110067,-73.9843833,0,0,0,0,0,0,0,0,Turning Improperly,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
303,12627,1/8/15,520,BRONX,10458,40.856112,-73.8825188,0,0,0,0,0,0,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
304,12628,1/8/15,520,BRONX,10454,40.8128929,-73.9201189,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
295,12619,1/8/15,524,BROOKLYN,11210,40.6315818,-73.9475439,0,0,0,0,0,0,0,0,Outside Car Distraction,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
294,12618,1/8/15,525,QUEENS,11361,40.757745,-73.7731811,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
358,12682,1/8/15,525,QUEENS,11416,40.6881494,-73.8488335,0,0,0,0,0,0,0,0,Prescription Medication,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
356,12680,1/8/15,530,MANHATTAN,10013,40.7168135,-73.9977634,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
357,12681,1/8/15,530,BRONX,10467,40.8790546,-73.8743853,0,0,0,0,0,0,0,0,Traffic Control Disregarded,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
48,12372,1/8/15,535,MANHATTAN,10030,40.8221642,-73.9424112,0,0,0,0,0,0,0,0,View Obstructed/Limited,SMALL COM VEH(4 TIRES),0,0,0,-60,-132,64,310
49,12373,1/8/15,536,MANHATTAN,10001,40.7503184,-73.9911106,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
355,12679,1/8/15,537,MANHATTAN,10075,40.7726551,-73.9555525,0,0,0,0,0,0,0,0,Fatigued/Drowsy,LARGE COM VEH(6 OR MORE TIRES),0,0,0,-60,-132,64,310
293,12617,1/8/15,538,QUEENS,11434,40.6831005,-73.7843129,0,0,0,0,0,0,0,0,Unspecified,LARGE COM VEH(6 OR MORE TIRES),0,0,0,-60,-132,64,310
291,12615,1/8/15,539,STATEN ISLAND,10301,40.6196995,-74.1077068,0,0,0,0,0,0,0,0,Turning Improperly,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
292,12616,1/8/15,539,MANHATTAN,10035,40.8069164,-73.9355612,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
70,12394,1/8/15,540,BRONX,10468,40.866342,-73.9005853,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
71,12395,1/8/15,540,QUEENS,11101,40.7519917,-73.9312651,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
72,12396,1/8/15,540,BROOKLYN,11201,40.7000509,-73.9917593,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
73,12397,1/8/15,540,BRONX,10456,40.8322633,-73.9136814,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,LIVERY VEHICLE,0,0,0,-60,-132,64,310
453,12777,1/8/15,540,MANHATTAN,10017,40.7565574,-73.9744374,0,0,0,0,0,0,0,0,Alcohol Involvement,TAXI,0,0,0,-60,-132,64,310
15,12339,1/8/15,546,BROOKLYN,11217,40.6877731,-73.9870011,0,0,0,0,0,0,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
69,12393,1/8/15,549,QUEENS,11354,40.7651388,-73.8194359,0,0,0,0,0,0,0,0,Unspecified,PICK-UP TRUCK,0,0,0,-60,-132,64,310
354,12678,1/8/15,556,MANHATTAN,10001,40.7502418,-73.998596,0,0,0,0,0,0,0,0,Other Vehicular,LARGE COM VEH(6 OR MORE TIRES),0,0,0,-60,-132,64,310
353,12677,1/8/15,558,MANHATTAN,10019,40.7667145,-73.9828775,0,0,0,0,0,0,0,0,Other Vehicular,LIVERY VEHICLE,0,0,0,-60,-132,64,310
352,12676,1/8/15,560,BROOKLYN,11221,40.6907737,-73.924293,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
351,12675,1/8/15,565,BRONX,10459,40.8282374,-73.8860116,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
350,12674,1/8/15,567,BROOKLYN,11212,40.6600522,-73.9174184,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
349,12673,1/8/15,569,QUEENS,11004,40.7363632,-73.7128306,0,0,0,0,0,0,0,0,Unspecified,OTHER,0,0,0,-60,-132,64,310
12,12336,1/8/15,570,BROOKLYN,11217,40.6840525,-73.9774579,1,0,1,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
13,12337,1/8/15,570,NA,NA,40.8764729,-73.8705687,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
14,12338,1/8/15,570,NA,NA,40.6065466,-74.0325379,0,0,0,0,0,0,0,0,Turning Improperly,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
66,12390,1/8/15,570,MANHATTAN,10016,40.747925,-73.973607,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
67,12391,1/8/15,570,BROOKLYN,11234,40.6123153,-73.9403952,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
68,12392,1/8/15,570,BRONX,10469,40.8809471,-73.8545537,0,0,0,0,0,0,0,0,Backing Unsafely,VAN,0,0,0,-60,-132,64,310
138,12462,1/8/15,570,MANHATTAN,10029,40.7993065,-73.9432328,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
11,12335,1/8/15,574,MANHATTAN,10019,40.7627073,-73.9832142,0,0,0,0,0,0,0,0,Other Vehicular,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
9,12333,1/8/15,575,QUEENS,11354,40.7653551,-73.8173235,0,0,0,0,0,0,0,0,Unspecified,VAN,0,0,0,-60,-132,64,310
10,12334,1/8/15,575,BRONX,10458,40.8629543,-73.8906556,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
7,12331,1/8/15,580,QUEENS,11358,40.7616363,-73.7962633,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
8,12332,1/8/15,580,MANHATTAN,10037,40.8146733,-73.9362111,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,OTHER,0,0,0,-60,-132,64,310
6,12330,1/8/15,585,BROOKLYN,11211,40.717835,-73.9577247,0,0,0,0,0,0,0,0,Fatigued/Drowsy,LIVERY VEHICLE,0,0,0,-60,-132,64,310
5,12329,1/8/15,587,STATEN ISLAND,10301,40.6164151,-74.1035089,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
3,12327,1/8/15,590,MANHATTAN,10004,40.7047985,-74.0166846,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
4,12328,1/8/15,590,BROOKLYN,11203,40.6411245,-73.9456267,0,0,0,0,0,0,0,0,Glare,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
2,12326,1/8/15,591,NA,NA,40.7157218,-73.8257329,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
1,12325,1/8/15,593,MANHATTAN,10029,40.7941352,-73.9428183,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
184,12508,1/8/15,600,QUEENS,11355,40.7407458,-73.8140241,0,0,0,0,0,0,0,0,Lost Consciousness,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
185,12509,1/8/15,600,BROOKLYN,11218,40.6330437,-73.9786496,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
186,12510,1/8/15,605,MANHATTAN,10016,40.7427065,-73.9845256,0,0,0,0,0,0,0,0,Backing Unsafely,TAXI,0,0,0,-60,-132,64,310
187,12511,1/8/15,605,MANHATTAN,10029,40.7967631,-73.945095,0,0,0,0,0,0,0,0,Unspecified,BUS,0,0,0,-60,-132,64,310
188,12512,1/8/15,610,BROOKLYN,11204,40.6302824,-73.9781533,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
190,12514,1/8/15,610,MANHATTAN,10065,40.7646168,-73.9583231,0,0,0,0,0,0,0,0,Unspecified,VAN,0,0,0,-60,-132,64,310
191,12515,1/8/15,611,QUEENS,11417,40.6709913,-73.8443483,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
192,12516,1/8/15,615,QUEENS,11423,40.7085962,-73.7796821,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
193,12517,1/8/15,619,QUEENS,11373,40.7427877,-73.882632,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
194,12518,1/8/15,620,BRONX,10475,40.8819391,-73.836987,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
